sheet_label,normalized_label,matched_folder,video,file_size
12.14 160218-165018,12.14 160218-165018,12.14 160218-165018,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.14 160218-165018/12月18日(1).mp4,6345507004
12.14 170730-194630,12.14 170730-194630,12.14 170730-194630,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.14 170730-194630/12月18日.mp4,21404295057
12.14 210250-212940,12.14 210250-212940,12.14 210250-212940,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.14 210250-212940/12月18日(1).mp4,3967132551
12.14 213920-214520,12.14 213920-214520,12.14 213920-214520,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.14 213920-214520/12月18日.mp4,1198640116
12.14 221130-222930,12.14 221130-222930,12.14 221130-222930,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.14 221130-222930/12月18日(1).mp4,2785030168
12.15 111050-112550,12.15 111050-112550,12.15 111050-112550,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.15 111050-112550/12月18日.mp4,2244421938
12.15 113630-143450,12.15 113630-143450,12.15 113630-143450,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第一批/12.15 113630-143450/12月18日(1).mp4,23564730235
12.16 011051-020120,12.16 011051-020120,12.16 011051-020120,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.16 011051-020120/12月19日(1).mp4,7137063925
12.16 165120-180020,12.16 165120-180020,12.16 165120-180020,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.16 165120-180020/12月19日.mp4,6970937344
12.16 190430-214020,12.16 190430-214020,12.16 190430-214020,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.16 190430-214020/12月19日.mp4,21049540567
12.16 214830-230030,12.16 214830-230030,12.16 214830-230030,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.16 214830-230030/12月19日(1).mp4,9786885192
12.16 232724-004520,12.16 232724-004520,12.16 232724-004520,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.16 232724-004520/12月19日.mp4,10650503788
12.17 005847-013518,12.17 005847-013518,12.17 005847-013518,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.17 005847-013518/12月19日(1).mp4,4774191258
12.17 124316-134647,12.17 124316-134647,12.17 124316-134647,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.17 124316-134647/12月19日(1).mp4,8658577770
12.17 140620-163020,12.17 140620-163020,12.17 140620-163020,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.17 140620-163020/12月19日.mp4,19385020579
12.17 172640-181740,12.17 172640-181740,12.17 172640-181740,/data/home/sim6g/autodri/data/natural_driving/p6/剪辑好的视频/第二批/12.17 172640-181740/12月19日(1).mp4,6993500282
